,book_name,author_name,book_genre,year_published,edition_language,avg_rating,no_of_raters,score,no_of_ppl_voted,book_url
0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,Fantasy,2007,English,4.61,"2,530,201","392,793","3,968",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,Young Adult,2008,English,4.33,"5,856,382","289,899","2,958",https://www.goodreads.com/book/show/2767052-the-hunger-games
2,The Kite Runner,Khaled Hosseini,Fiction,2004,English,4.29,"2,222,081","257,039","2,610",https://www.goodreads.com/book/show/77203.The_Kite_Runner
3,The Book Thief,Markus Zusak,Historical,2006,English,4.37,"1,636,312","249,885","2,545",https://www.goodreads.com/book/show/19063.The_Book_Thief
4,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,Fantasy,2006,English,4.56,"2,172,153","219,198","2,257",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
5,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Fantasy,2004,English,4.49,"2,226,721","199,622","2,073",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
6,The Help,Kathryn Stockett,Fiction,2009,English,4.47,"1,933,905","163,258","1,689",https://www.goodreads.com/book/show/4667024-the-help
7,A Thousand Splendid Suns,Khaled Hosseini,Fiction,2007,English,4.36,"1,036,476","158,316","1,620",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
8,Life of Pi,Yann Martel,Fiction,2006,English,3.90,"1,225,659","149,689","1,535",https://www.goodreads.com/book/show/4214.Life_of_Pi
9,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,Young Adult,2009,English,4.29,"2,247,925","145,273","1,524",https://www.goodreads.com/book/show/6148028-catching-fire
10,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,Fiction,2008,English,4.13,"2,361,739","141,021","1,465",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
11,The Time Traveler's Wife,Audrey Niffenegger,Fiction,2013,English,3.96,"1,471,870","138,248","1,418",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
12,The Fault in Our Stars,John Green,Young Adult,2012,English,4.23,"3,143,897","128,907","1,343",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
13,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,Fiction,2006,English,3.83,"1,759,844","121,823","1,269",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
14,The Road,Cormac McCarthy,Fiction,2006,English,3.96,"657,737","119,114","1,220",https://www.goodreads.com/book/show/6288.The_Road
15,Water for Elephants,Sara Gruen,Fiction,2007,English,4.08,"1,275,246","110,837","1,154",https://www.goodreads.com/book/show/43641.Water_for_Elephants
16,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,2004,English,3.87,"1,091,058","109,561","1,141",https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
17,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,Young Adult,2010,English,4.03,"2,114,765","102,038","1,093",https://www.goodreads.com/book/show/7260188-mockingjay
18,The Lovely Bones,Alice Sebold,Fiction,2006,English,3.80,"1,871,702","84,348",887,https://www.goodreads.com/book/show/12232938-the-lovely-bones
19,Middlesex,Jeffrey Eugenides,Fiction,2003,English,really,avg,"84,070",867,https://www.goodreads.com/book/show/2187.Middlesex
20,"Twilight (Twilight, #1)",Stephenie Meyer,Young Adult,2006,English,3.59,"4,533,627","81,496",854,https://www.goodreads.com/book/show/41865.Twilight
21,"Divergent (Divergent, #1)",Veronica Roth,Young Adult,2012,English,4.21,"2,672,961","80,768",865,https://www.goodreads.com/book/show/13335037-divergent
22,Atonement,Ian McEwan,Fiction,2003,English,3.89,"411,543","78,931",826,https://www.goodreads.com/book/show/6867.Atonement
23,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,Fantasy,2006,English,4.24,"1,768,101","77,951",830,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
